model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
hayward,0.9,0.225,0,0.3325960825305424,-0.0004687435204601201,0.3325964128416771
hayward,0.9,0.25,0,0.26937805158219885,-0.0014648589979893729,0.26938203445312714
hayward,0.9,0.275,0,0.18690779212836464,-0.004305950974885843,0.18695738544411153
hayward,0.9,0.3,0,0.0821239129214431,-0.012049849215279608,0.08300322848925663
hayward,0.9,0.325,0,-0.05015830647304841,-0.03234449177541304,0.059682676351299896
hayward,0.9,0.35,0,-0.2144986429488095,-0.08303887351308246,0.23001113525480144
hayward,0.9,0.375,0,-0.4017186946337285,-0.1987631616145581,0.4482016332335724
hayward,0.9,0.4,0,-0.5568164703601046,-0.41540821147601237,0.6947003410291266
hayward,0.9,0.425,0,-0.5832726285494454,-0.6938153284571325,0.9064141819372962
hayward,0.9,0.45,0,-0.47432919150353503,-0.9044516743559342,1.021284002203917
hayward,0.9,0.475,0,-0.3382263908598199,-0.9953589219488577,1.0512547146040545
hayward,0.9,0.5,0,-0.24410857059018637,-1.0162828868339957,1.0451889304366098
hayward,0.9,0.525,0,-0.19660119690521208,-1.01913304874719,1.0379230229999254
hayward,0.9,0.55,0,-0.1789785282474216,-1.0339633481944925,1.0493395632411744
hayward,0.9,0.575,0,-0.1599646521924729,-1.0776503272236702,1.0894580844237847
hayward,0.9,0.58125,0,-0.14897939491561252,-1.0916214945635905,1.1017405990080735
hayward,0.9,0.5875,0,-0.1341855671923703,-1.1046470178161072,1.1127671815850597
hayward,0.9,0.59375,0,-0.11589738046546527,-1.1150472436340104,1.1210542173929685
hayward,0.9,0.6,0,-0.09524441362364142,-1.121454783255199,1.1254920387157241
hayward,0.9,0.60625,0,-0.07388163620728619,-1.1231528874597352,1.1255802524821614
hayward,0.9,0.6125,0,-0.05359505090399816,-1.120325877671982,1.1216071066389064
hayward,0.9,0.61875,0,-0.035694859413031355,-1.113910176488915,1.1144819443463774
hayward,0.9,0.625,0,-0.020868282175284025,-1.1050966875088473,1.1052937048332332
hayward,0.9,0.65,0,0.010126922525681925,-1.0655734127458687,1.0656215334304757
hayward,0.9,0.675,0,0.015948691814837018,-1.037280320965333,1.0374029231848871
hayward,0.9,0.7,0,0.014175910837586847,-1.0207560561381412,1.020854486491962
hayward,0.9,0.725,0,0.01093389161210478,-1.011424705437132,1.0114838035057083
hayward,0.9,0.75,0,0.007935684178824842,-1.006198675058334,1.0062299681347862
hayward,0.9,0.775,0,0.0055709971891762244,-1.0032715800777223,1.0032870473604907
hayward,0.9,0.8,0,0.0038280481242459474,-1.0016652759283933,1.0016725906967534
hayward,0.9,0.60625,1,-0.0732803526573714,-1.1237056412164343,1.126092526476944
hayward,0.97,0.1,0,0.38122161093640156,-1.4387596854875673e-07,0.3812216109364287
hayward,0.97,0.125,0,0.40783384982399323,-1.0339206499981879e-06,0.4078338498253038
hayward,0.97,0.15,0,0.41612515511093406,-5.766903169716897e-06,0.4161251551508946
hayward,0.97,0.175,0,0.4059471970104158,-2.672700249680554e-05,0.40594719789025024
hayward,0.97,0.2,0,0.3781422320798665,-0.00010747837483154887,0.3781422473540145
hayward,0.97,0.225,0,0.33276815716643193,-0.00038659498462402866,0.3327683817306345
hayward,0.97,0.25,0,0.2696341567287819,-0.0012724022987536492,0.26963715894225554
hayward,0.97,0.275,0,0.18721151312681003,-0.003902619340867452,0.1872521857948512
hayward,0.97,0.3,0,0.08230325832741792,-0.01131270431434669,0.083077094377533
hayward,0.97,0.325,0,-0.05055811937606587,-0.03127550638297551,0.05944981694131672
hayward,0.97,0.35,0,-0.21626476649785828,-0.08228965505289451,0.2313915222239085
hayward,0.97,0.375,0,-0.4049951748910309,-0.20062579338366152,0.45196437985292637
hayward,0.97,0.4,0,-0.5577426817267017,-0.42268164368234074,0.699811882526796
hayward,0.97,0.425,0,-0.5750517912805612,-0.702198880905781,0.9076165660675841
hayward,0.97,0.45,0,-0.4595196703246175,-0.9044745330926535,1.0145109700877653
hayward,0.97,0.475,0,-0.3250956349508943,-0.9859914091350552,1.0382033667602204
hayward,0.97,0.5,0,-0.23610535316188408,-1.0011775901678017,1.0286409990107845
hayward,0.97,0.525,0,-0.19437628972935772,-0.999903283281932,1.0186209883597228
hayward,0.97,0.55,0,-0.18588325121778904,-1.0099725731945097,1.0269358216015425
hayward,0.97,0.575,0,-0.1875789600778075,-1.0551818051873436,1.071725015226524
hayward,0.97,0.58125,0,-0.1832498597935624,-1.073990259943182,1.0895116289270088
hayward,0.97,0.5875,0,-0.17401273927574573,-1.0947544048021125,1.1084979207305155
hayward,0.97,0.59375,0,-0.15855465095888935,-1.1154197702905477,1.1266325227400964
hayward,0.97,0.6,0,-0.13664824221260602,-1.133141730721667,1.1413513586984025
hayward,0.97,0.60625,0,-0.10970284713333411,-1.1449702219991593,1.1502136862052912
hayward,0.97,0.6125,0,-0.08070502072297786,-1.149094794937008,1.1519254090961015
hayward,0.97,0.61875,0,-0.05302325108830043,-1.1456360600971525,1.146862436105961
hayward,0.97,0.625,0,-0.029229072140368684,-1.1362642385294557,1.1366401182516437
hayward,0.97,0.65,0,0.01861620177247525,-1.0816738455800263,1.0818340312544787
hayward,0.97,0.675,0,0.024329882839887074,-1.0428425207231098,1.043126294475953
hayward,0.97,0.7,0,0.01985118563551691,-1.0220224540364735,1.0222152249530778
hayward,0.97,0.725,0,0.0144297758962251,-1.0111603446882869,1.011263299592421
hayward,0.97,0.75,0,0.009997910578575672,-1.0054970534555758,1.0055467580991857
hayward,0.97,0.775,0,0.006747329078822424,-1.0025477043188586,1.0025704094400112
hayward,0.97,0.8,0,0.004475471160789439,-1.0010576942501082,1.0010676985396414
hayward,0.97,0.6125,1,-0.07992384319325208,-1.1497889341088614,1.1525634098434545
