model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,delta_k_real,delta_k_imag,k_metric_real,k_metric_imag
hayward,0.5,0.3849001794597505,0.001,0.03983939745582727,-1.0085492103013696e-05,-0.0026324620278204646,0.03982931196372426,-0.0026324620278204646,4.309968202068463e-11,5.951280397293934e-11,0.016,33.94112472797278,8.485150061718318,-1.0085492103013696e-05,-0.0026324620278204646,0.03982931196372426,-0.0026324620278204646
hayward,0.5,0.3849001794597505,0.002,0.03983939745582727,-4.0317986080767144e-05,-0.005265368919498683,0.03979907946974651,-0.005265368919498683,1.1785109857648346e-09,1.6273088338603994e-09,0.032,33.94112472797278,8.485150061718318,-4.0317986080767144e-05,-0.005265368919498683,0.03979907946974651,-0.005265368919498683
hayward,0.5,0.3849001794597505,0.003,0.03983939745582727,-9.048027734671406e-05,-0.007899165605134532,0.03974891717848056,-0.007899165605134532,1.255068640578981e-08,1.7330209990178988e-08,0.048,33.94112472797278,8.485150061718318,-9.048027734671406e-05,-0.007899165605134532,0.03974891717848056,-0.007899165605134532
hayward,0.5,0.3849001794597505,0.004,0.03983939745582727,-0.00015972903966123274,-0.01053429715710791,0.03967966841616604,-0.01053429715710791,6.968272662517932e-08,9.621914260759696e-08,0.064,33.94112472797278,8.485150061718318,-0.00015972903966123274,-0.01053429715710791,0.03967966841616604,-0.01053429715710791
hayward,0.5,0.3849001794597505,0.005,0.03983939745582727,-0.00024587299375475693,-0.013171208803500657,0.03959352446207251,-0.013171208803500657,2.6491118920167397e-07,3.6579406011535705e-07,0.08,33.94112472797278,8.485150061718318,-0.00024587299375475693,-0.013171208803500657,0.03959352446207251,-0.013171208803500657
hayward,0.5,0.3849001794597505,0.006,0.03983939745582727,-0.00034436633641433517,-0.015810345991923,0.03949503111941294,-0.015810345991923,7.898478945942108e-07,1.0906359565552388e-06,0.096,33.94112472797278,8.485150061718318,-0.00034436633641433517,-0.015810345991923,0.03949503111941294,-0.015810345991923
hayward,0.6,0.4618802153517006,0.002,0.08293660719972173,-3.9444167686446804e-05,-0.0046503717327662135,0.08289716303203529,-0.0046503717327662135,1.1731871001584724e-09,1.6199575183490767e-09,0.032,33.94112438974985,8.485147366944483,-3.9444167686446804e-05,-0.0046503717327662135,0.08289716303203529,-0.0046503717327662135
hayward,0.6,0.4618802153517006,0.004,0.08293660719972173,-0.00015623496876798575,-0.009304184515965418,0.08278037223095375,-0.009304184515965418,6.97074949499307e-08,9.625334314889358e-08,0.064,33.94112438974985,8.485147366944483,-0.00015623496876798575,-0.009304184515965418,0.08278037223095375,-0.009304184515965418
hayward,0.6,0.4618802153517006,0.006,0.08293660719972173,-0.00033651063043444167,-0.01396488137189631,0.0826000965692873,-0.01396488137189631,7.899991791034609e-07,1.0908448528839853e-06,0.096,33.94112438974985,8.485147366944483,-0.00033651063043444167,-0.01396488137189631,0.0826000965692873,-0.01396488137189631
hayward,0.7,0.5388602512436507,0.002,0.1544001738412985,-3.768451198264825e-05,-0.0038374236224723583,0.15436248932931584,-0.0038374236224723583,1.2100617872418522e-09,1.6708747391280067e-09,0.032,33.9411239901331,8.485144182206275,-3.768451198264825e-05,-0.0038374236224723583,0.15436248932931584,-0.0038374236224723583
hayward,0.7,0.5388602512436507,0.004,0.1544001738412985,-0.00014919951122648734,-0.0076780937878736825,0.154250974330072,-0.0076780937878736825,6.98395783295424e-08,9.643572621796933e-08,0.064,33.9411239901331,8.485144182206275,-0.00014919951122648734,-0.0076780937878736825,0.154250974330072,-0.0076780937878736825
hayward,0.7,0.5388602512436507,0.006,0.1544001738412985,-0.00032069167401910757,-0.011525259195123315,0.1540794821672794,-0.011525259195123315,7.902840224301785e-07,1.0912381695924673e-06,0.096,33.9411239901331,8.485144182206275,-0.00032069167401910757,-0.011525259195123315,0.1540794821672794,-0.011525259195123315
hayward,0.8,0.6158402871356009,0.001,0.26498328989874687,-8.60291177022907e-06,-0.0013959720008255652,0.2649746869869766,-0.0013959720008255652,4.705576444291589e-11,6.497543263661956e-11,0.016,33.941123529173666,8.48514050750088,-8.60291177022907e-06,-0.0013959720008255652,0.2649746869869766,-0.0013959720008255652
hayward,0.8,0.6158402871356009,0.002,0.26498328989874687,-3.4386871727683974e-05,-0.002792309904074852,0.2649489030270192,-0.002792309904074852,1.2477803715929168e-09,1.7229572281668787e-09,0.032,33.941123529173666,8.48514050750088,-3.4386871727683974e-05,-0.002792309904074852,0.2649489030270192,-0.002792309904074852
hayward,0.8,0.6158402871356009,0.003,0.26498328989874687,-7.713743504420037e-05,-0.004189379805792598,0.26490615246370264,-0.004189379805792598,1.2721185717741988e-08,1.7565638458701114e-08,0.048,33.941123529173666,8.48514050750088,-7.713743504420037e-05,-0.004189379805792598,0.26490615246370264,-0.004189379805792598
hayward,0.8,0.6158402871356009,0.004,0.26498328989874687,-0.00013601358397504306,-0.00558754785208099,0.26484727631477184,-0.00558754785208099,7.001796548369699e-08,9.668204635861967e-08,0.064,33.941123529173666,8.48514050750088,-0.00013601358397504306,-0.00558754785208099,0.26484727631477184,-0.00558754785208099
hayward,0.8,0.6158402871356009,0.005,0.26498328989874687,-0.00020882801149027996,-0.006987180287716364,0.26477446188725656,-0.006987180287716364,2.6545849307047206e-07,3.66549786987078e-07,0.08,33.941123529173666,8.48514050750088,-0.00020882801149027996,-0.006987180287716364,0.26477446188725656,-0.006987180287716364
hayward,0.8,0.6158402871356009,0.006,0.26498328989874687,-0.0002910388050012154,-0.008388643833098277,0.26469225109374567,-0.008388643833098277,7.907347953039175e-07,1.091860604757126e-06,0.096,33.941123529173666,8.48514050750088,-0.0002910388050012154,-0.008388643833098277,0.26469225109374567,-0.008388643833098277
