ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.2,0.15396007178390023,0.002,12.0,-0.0006891560223415141,-0.006145462230522417,-3.995660422816236e-05,-0.006145462230522417,0.010679831651096297,0.0013485854211676834,1.1102230246251565e-16,4.620902220698007e-17,4.661158858531485
0.2,0.15396007178390023,0.002,14.0,-0.0006891707680624064,-0.006145462229259828,-3.9966872412466273e-05,-0.006145462229259828,0.010679981020588418,0.0013485854197194704,2.2215299868541707e-16,6.992893892674703e-18,5.46391950913847
0.2,0.15396007178390023,0.002,16.0,-0.0006892061844582355,-0.006145462231966466,-4.000075058327489e-05,-0.006145462231966466,0.010680032394176853,0.0013485854203193447,1.1123893155135927e-16,8.315830662963819e-17,6.265862330205612
0.2,0.15396007178390023,0.004,10.0,-0.0008090202323389538,-0.012294547655044282,-0.0001598361665169465,-0.012294547655044282,0.010662406002237309,0.0026980079674280497,1.3877787807814457e-17,1.0457465775497381e-16,3.8575258810112514
0.2,0.15396007178390023,0.004,12.0,-0.0008091974944623315,-0.012294547619744897,-0.00015999807634897983,-0.012294547619744897,0.010662920395034685,0.0026980079826638553,2.220446049250313e-16,6.938893903907228e-17,4.66216301503588
0.2,0.15396007178390023,0.004,14.0,-0.0008098378900484923,-0.012294547615396778,-0.00016063399439855209,-0.012294547615396778,0.010663078525137263,0.0026980079864153406,0.0,3.7084152287924965e-17,5.4654561518752
0.2,0.15396007178390023,0.004,16.0,-0.0008120064108479261,-0.012294547616786073,-0.00016280097697296547,-0.012294547616786073,0.010663173511891251,0.0026980079871958967,2.220446049250313e-16,4.610090873601838e-18,6.2680951025470755
0.2,0.15396007178390023,0.006,10.0,-0.0010091030211470883,-0.018450881193722634,-0.00035991895532508106,-0.018450881193722634,0.010634214223270839,0.004049105288264777,0.0,1.4539632184201917e-17,3.8585489335119756
0.2,0.15396007178390023,0.006,12.0,-0.0010108971276017857,-0.01845088114363115,-0.00036169770948843395,-0.01845088114363115,0.010634743251516629,0.004049105311170954,2.7755575615628914e-17,5.204170427930421e-18,4.663839276840104
0.2,0.15396007178390023,0.006,14.0,-0.0010181291240658574,-0.018450881149298885,-0.00036892522841591724,-0.018450881149298885,0.01063504867583014,0.004049105318740094,2.7755575615628914e-17,1.734723475976807e-18,5.4680227248467475
0.2,0.15396007178390023,0.006,16.0,-0.0010427998297196078,-0.01845088116561957,-0.00039359439584464714,-0.01845088116561957,0.010635626879742364,0.0040491053069917,2.237726045655905e-16,1.179739509965479e-17,6.2718267611538785
