model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
bardeen,0.6,0.5125000000000001,1,-0.05005669255919998,-1.1982755766667945,1.1993206535810619
bardeen,0.6,0.525,1,-0.020505925910565936,-1.1564290829255963,1.156610875287616
bardeen,0.6,0.5375,1,-0.0030135637710654584,-1.1208450856541268,1.1208491368608038
bardeen,0.6,0.55,1,0.0063457073246085405,-1.0913652182227216,1.091383666520522
bardeen,0.6,0.5625,1,0.010139127192585529,-1.0673873351501042,1.067435489919212
bardeen,0.6,0.5750000000000001,1,0.010056199741607375,-1.0483020441954565,1.048350276872008
bardeen,0.6,0.5875,1,0.007239256074536793,-1.033649089846432,1.0336744399320659
bardeen,0.6,0.6,1,0.0025942201204164905,-1.0232446498847585,1.0232479384273467
bardeen,0.6,0.6125,1,-0.0028104710972839397,-1.0170755786095687,1.0170794616704133
bardeen,0.6,0.625,1,-0.007548532449574874,-1.0148658404026925,1.014893912859076
bardeen,0.6,0.6375,1,-0.010144073629273734,-1.0155234756593905,1.0155741390194637
bardeen,0.6,0.65,1,-0.009986668687390232,-1.0171262126799914,1.017175238625191
bardeen,0.6,0.6625,1,-0.007834434163094206,-1.017981194111016,1.0180113407631302
bardeen,0.6,0.675,1,-0.005006247256161167,-1.017528987725303,1.017541303030432
bardeen,0.6,0.6875,1,-0.002433997591515441,-1.01606004616059,1.0160629615078662
bardeen,0.6,0.7000000000000001,1,-0.0004879119845217772,-1.0140894286879307,1.0140895460632253
bardeen,0.6,0.7125,1,0.0008298409662082507,-1.0120209867224343,1.0120213269505138
bardeen,0.6,0.725,1,0.001644837799603116,-1.0100673606273256,1.0100686998892892
bardeen,0.6,0.7375,1,0.0020873115939888387,-1.0083295698572485,1.008331730294249
bardeen,0.6,0.75,1,0.0022812138521959464,-1.006838193298798,1.0068407775918828
bardeen,0.6,0.7625000000000001,1,0.0023107826296159817,-1.0055767890634193,1.0055794441114325
bardeen,0.6,0.775,1,0.0022331449234845313,-1.0045291090343507,1.0045315912571369
bardeen,0.6,0.7875,1,0.0020984687534121305,-1.0036657752842741,1.0036679690256596
bardeen,0.6,0.8,1,0.001929258457192079,-1.0029543301914836,1.0029561857269949
bardeen,0.9,0.1,1,0.32572900944625116,-1.0592139418341695e-07,0.32572900944626837
bardeen,0.9,0.1125,1,0.33420714758321735,-2.7133941785106863e-07,0.3342071475833275
bardeen,0.9,0.125,1,0.33788801545139985,-6.496340583285465e-07,0.33788801545202435
bardeen,0.9,0.1375,1,0.3371383115646764,-1.4724905635643548e-06,0.33713831156789204
bardeen,0.9,0.15000000000000002,1,0.3319788151442427,-3.1894748578342735e-06,0.33197881515956407
bardeen,0.9,0.1625,1,0.3226099550076724,-6.651249089328903e-06,0.3226099550762368
bardeen,0.9,0.17500000000000002,1,0.3091965183471138,-1.3427180431235808e-05,0.30919651863865844
bardeen,0.9,0.1875,1,0.2917509165792536,-2.635937061386262e-05,0.2917509177700235
bardeen,0.9,0.2,1,0.27040829490824153,-5.05167998838818e-05,0.2704082996269338
bardeen,0.9,0.21250000000000002,1,0.24519402014553776,-9.48022455704578e-05,0.24519403847279023
bardeen,0.9,0.225,1,0.21605449904227786,-0.00017471123214096718,0.2160545696818845
bardeen,0.9,0.23750000000000002,1,0.18296263709644595,-0.0003169854318367249,0.18296291168717713
bardeen,0.9,0.25,1,0.14573388743880733,-0.0005674568592156093,0.14573499221296865
bardeen,0.9,0.2625,1,0.10408480816514398,-0.0010045442086367151,0.10408965558518257
bardeen,0.9,0.275,1,0.05762968374764521,-0.0017621580477934218,0.05765661843916105
bardeen,0.9,0.2875,1,0.005727164587985445,-0.003069265467585458,0.00649775382177465
bardeen,0.9,0.30000000000000004,1,-0.05250339866986288,-0.005319364972215412,0.05277217558140077
bardeen,0.9,0.3125,1,-0.11827565080907293,-0.009192113179313677,0.11863230807419649
bardeen,0.9,0.325,1,-0.19330632776146184,-0.015871309865254285,0.19395678598456056
bardeen,0.9,0.3375,1,-0.2798491445780691,-0.02743805593378268,0.28119102161075915
bardeen,0.9,0.35,1,-0.38072722587982205,-0.04757293399486373,0.38368789995910046
bardeen,0.9,0.36250000000000004,1,-0.4990392979626964,-0.08278817991731306,0.5058597667784247
bardeen,0.9,0.375,1,-0.6366861719075485,-0.14438999217636184,0.6528535450918362
bardeen,0.9,0.38750000000000007,1,-0.7901917009784631,-0.2507433623915126,0.8290206017214762
bardeen,0.9,0.4,1,-0.9410486094288847,-0.4265576058125764,1.0332104705163392
bardeen,0.9,0.4125,1,-1.041823865281687,-0.6885850190582481,1.2488179590084068
bardeen,0.9,0.42500000000000004,1,-1.0216975160751602,-1.0071984900687927,1.4346827568319793
bardeen,0.9,0.4375,1,-0.8498541157485947,-1.2844684924462233,1.5401660060337325
bardeen,0.9,0.45000000000000007,1,-0.5946398291445153,-1.4295535083758837,1.5482957597677571
bardeen,0.9,0.4625,1,-0.3579100117405677,-1.4448847618522063,1.4885535097996445
bardeen,0.9,0.475,1,-0.18711672462014353,-1.3893433918244977,1.4018872026803622
bardeen,0.9,0.48750000000000004,1,-0.07953078071873132,-1.31213761740835,1.3145456523452477
bardeen,0.9,0.5,1,-0.017035873006712388,-1.2374507232376368,1.237567983348976
bardeen,0.9,0.5125000000000001,1,0.01672581409775878,-1.173490487216372,1.1736096780636018
bardeen,0.9,0.525,1,0.032892916138271944,-1.1213894404920013,1.1218717489887349
bardeen,0.9,0.5375,1,0.038381838562825565,-1.0798536999191488,1.0805355980996358
bardeen,0.9,0.55,1,0.037325833470146064,-1.0469919956458917,1.0476571274948727
bardeen,0.9,0.5625,1,0.03206870805918244,-1.0210372534777126,1.0215407358622053
bardeen,0.9,0.5750000000000001,1,0.023861163312031364,-1.0005907709730548,1.0008752400129877
bardeen,0.9,0.5875,1,0.013206342997545695,-0.9846695086852377,0.9847580661410174
bardeen,0.9,0.6,1,5.885810387573631e-05,-0.9728762066872603,0.9728762084676905
bardeen,0.9,0.6125,1,-0.01590418057560744,-0.9656761701630381,0.9658071280439664
bardeen,0.9,0.625,1,-0.034709871459795816,-0.9648860664491187,0.9655101741589307
bardeen,0.9,0.6375,1,-0.05430976259365983,-0.9739257105064265,0.97543879351727
bardeen,0.9,0.65,1,-0.06763279706339348,-0.9951032861906247,0.9973989900867147
bardeen,0.9,0.6625,1,-0.06499334663621997,-1.021936887365138,1.0240015316709847
bardeen,0.9,0.675,1,-0.04739910513919576,-1.0400958740567106,1.041175346614483
bardeen,0.9,0.6875,1,-0.027149454261685524,-1.0442834848016878,1.04463634318181
bardeen,0.9,0.7000000000000001,1,-0.012146549373763957,-1.0400453946843793,1.04011632121887
bardeen,0.9,0.7125,1,-0.0029820801473058323,-1.03317872516855,1.033183028772209
bardeen,0.9,0.725,1,0.0020893873951012276,-1.0264213514399643,1.026423478020417
bardeen,0.9,0.7375,1,0.004655283379746812,-1.0206456909351,1.0206563075236117
bardeen,0.9,0.75,1,0.005769355066577608,-1.0159720536661174,1.0159884346233634
bardeen,0.9,0.7625000000000001,1,0.006056222381258525,-1.0122702034563296,1.0122883199143662
bardeen,0.9,0.775,1,0.005880431955862103,-1.009375378411474,1.009392507413887
bardeen,0.9,0.7875,1,0.005467254048572456,-1.0071249004818172,1.0071397400745052
bardeen,0.9,0.8,1,0.004939370837452772,-1.0053785919503302,1.0053907253084735
bardeen,0.97,0.1,1,0.32575814186264596,-4.2131561461822287e-08,0.3257581418626487
bardeen,0.97,0.1125,1,0.3342540545413742,-1.1544224254311786e-07,0.3342540545413941
bardeen,0.97,0.125,1,0.3379596758947365,-2.946457269281666e-07,0.337959675894865
bardeen,0.97,0.1375,1,0.3372432435991648,-7.092918401507831e-07,0.3372432435999107
bardeen,0.97,0.15000000000000002,1,0.33212724335526855,-1.6252788649362415e-06,0.33212724335924526
bardeen,0.97,0.1625,1,0.322813950585324,-3.571553627927746e-06,0.3228139506050815
bardeen,0.97,0.17500000000000002,1,0.3094702618419454,-7.569300511711674e-06,0.30947026193451377
bardeen,0.97,0.1875,1,0.29211101879630963,-1.554481530641194e-05,0.29211101920992166
bardeen,0.97,0.2,1,0.27087423349262574,-3.106232993888014e-05,0.2708742352736522
bardeen,0.97,0.21250000000000002,1,0.24578880549386242,-6.0595927839024455e-05,0.24578881296341826
bardeen,0.97,0.225,1,0.21680544309158867,-0.00011576116031467021,0.21680547399636
bardeen,0.97,0.23750000000000002,1,0.18390236372509378,-0.0002171693175463396,0.18390249195209177
bardeen,0.97,0.25,1,0.14690142060817135,-0.00040106503228953816,0.14690196809389244
bardeen,0.97,0.2625,1,0.10552645332619148,-0.000730940979249084,0.10552898476873554
bardeen,0.97,0.275,1,0.05939931389384667,-0.0013176458455275153,0.059413926663989834
bardeen,0.97,0.2875,1,0.007884484729436592,-0.0023547226396043452,0.00822859758149492
bardeen,0.97,0.30000000000000004,1,-0.0498988912928482,-0.004181520448013787,0.05007379020518258
bardeen,0.97,0.3125,1,-0.11518015783145752,-0.007395961740671753,0.11541736874556163
