model,ell_over_ell_ext,ell_over_M,omega_M,static_response_over_M5,direct_ratio_zero_real,direct_ratio_real,direct_ratio_imag,dynamic_response_over_M5,finite_frequency_correction_over_M5,static_match_residual,dynamic_match_residual,maximum_omega_r
hayward,0.8,0.6158402871356009,0.002,0.722484518351842,0.722484518351842,0.722514024967182,0.004288110800067776,0.722514024967182,2.950661533995813e-05,4.3978419239643074e-08,1.704935282108603e-08,0.032
hayward,0.8,0.6158402871356009,0.004,0.722484518351842,0.722484518351842,0.7226020060225018,0.008581349979486706,0.7226020060225018,0.00011748767065977717,4.3978419239643074e-08,1.6691335648704383e-08,0.064
hayward,0.8,0.6158402871356009,0.006,0.722484518351842,0.722484518351842,0.7227488173486682,0.012884851722072242,0.7227488173486682,0.0002642989968262288,4.3978419239643074e-08,1.5569436710580048e-08,0.096
hayward,0.9,0.6928203230275509,0.002,1.1761836517571402,1.1761836517571402,1.1761510709553147,0.001442501963373065,1.1761510709553147,-3.258080182555467e-05,6.05418912780209e-08,2.3342281641973558e-08,0.032
hayward,0.9,0.6928203230275509,0.004,1.1761836517571402,1.1761836517571402,1.176052563269522,0.002887615759288885,1.176052563269522,-0.000131088487618225,6.05418912780209e-08,2.3006299456424257e-08,0.064
hayward,0.9,0.6928203230275509,0.006,1.1761836517571402,1.1761836517571402,1.1758885517535205,0.004337957305340354,1.1758885517535205,-0.00029510000361976374,6.05418912780209e-08,2.1701493251965063e-08,0.096
hayward,0.95,0.731310340973526,0.002,1.4753329753391768,1.4753329753391768,1.4752650553031375,0.0004720810202620197,1.4752650553031375,-6.792003603939278e-05,6.850872225072635e-08,2.6346686893638556e-08,0.032
hayward,0.95,0.731310340973526,0.004,1.4753329753391768,1.4753329753391768,1.4750604139462562,0.0009455271904129332,1.4750604139462562,-0.00027256139292064496,6.850872225072635e-08,2.612886387469955e-08,0.064
hayward,0.95,0.731310340973526,0.006,1.4753329753391768,1.4753329753391768,1.4747195009531453,0.001421706778287656,1.4747195009531453,-0.0006134743860315428,6.850872225072635e-08,2.469395915498412e-08,0.096
hayward,0.99,0.762102355330306,0.002,1.7576922952603293,1.7576922952603293,1.7575932247525756,3.523491526415171e-05,1.7575932247525756,-9.907050775370685e-05,7.436219418011092e-08,2.8669719679909483e-08,0.032
hayward,0.99,0.762102355330306,0.004,1.7576922952603293,1.7576922952603293,1.7572950523773303,7.083000959911482e-05,1.7572950523773303,-0.0003972428829990271,7.436219418011092e-08,2.8212787436094692e-08,0.064
hayward,0.99,0.762102355330306,0.006,1.7576922952603293,1.7576922952603293,1.75679823401756,0.00010714791915509787,1.75679823401756,-0.0008940612427692507,7.436219418011092e-08,2.6859170135538414e-08,0.096
fan_wang,0.0,0.0,0.002,2.704919485303733e-10,2.704919485303733e-10,0.00023381742267604338,0.025602757268953422,0.00023381742267604338,0.00023381715218409485,2.4424183793720287e-11,1.2938648614655224e-10,0.032
fan_wang,0.0,0.0,0.004,2.704919485303733e-10,2.704919485303733e-10,0.000935287622734108,0.05122206021245749,0.000935287622734108,0.0009352873522421595,2.4424183793720287e-11,2.6420979183699325e-10,0.064
fan_wang,0.0,0.0,0.006,2.704919485303733e-10,2.704919485303733e-10,0.00210447965939564,0.07687446565155008,0.00210447965939564,0.002104479388903691,2.4424183793720287e-11,5.574427636131243e-10,0.096
fan_wang,0.1,0.02962962962962963,0.002,0.0033694909824226473,0.0033694909824226473,0.0035390302346481697,0.01691555609884768,0.0035390302346481697,0.0001695392522255224,1.938262109840716e-09,6.504805666964018e-10,0.032
