model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,k_direct_real
hayward,0.4,0.30792014356780045,0.002,0.016267347911827636,-4.068473451558044e-05,-0.005716753244235134,0.016226663177312056,-0.005716753244235134,1.2001430022579695e-09,1.6571787052168656e-09,0.032,33.94112500475927,8.485152266530061,0.016226663177312056
hayward,0.4,0.30792014356780045,0.004,0.016267347911827636,-0.00016119482257427958,-0.01143713578401661,0.016106153089253356,-0.01143713578401661,6.969265457736634e-08,9.623285129972552e-08,0.064,33.94112500475927,8.485152266530061,0.016106153089253356
hayward,0.4,0.30792014356780045,0.006,0.016267347911827636,-0.00034766060535365096,-0.017164778827059197,0.015919687306473983,-0.017164778827059197,7.898396085834403e-07,1.0906245150849376e-06,0.096,33.94112500475927,8.485152266530061,0.015919687306473983
hayward,0.5,0.3849001794597505,0.001,0.03983939745582727,-1.0085492103013696e-05,-0.0026324620278204646,0.03982931196372426,-0.0026324620278204646,4.309968202068463e-11,5.951280397293934e-11,0.016,33.94112472797278,8.485150061718318,0.03982931196372426
hayward,0.5,0.3849001794597505,0.002,0.03983939745582727,-4.0317986080767144e-05,-0.005265368919498683,0.03979907946974651,-0.005265368919498683,1.1785109857648346e-09,1.6273088338603994e-09,0.032,33.94112472797278,8.485150061718318,0.03979907946974651
hayward,0.5,0.3849001794597505,0.003,0.03983939745582727,-9.048027734671406e-05,-0.007899165605134532,0.03974891717848056,-0.007899165605134532,1.255068640578981e-08,1.7330209990178988e-08,0.048,33.94112472797278,8.485150061718318,0.03974891717848056
hayward,0.5,0.3849001794597505,0.004,0.03983939745582727,-0.00015972903966123274,-0.01053429715710791,0.03967966841616604,-0.01053429715710791,6.968272662517932e-08,9.621914260759696e-08,0.064,33.94112472797278,8.485150061718318,0.03967966841616604
hayward,0.5,0.3849001794597505,0.005,0.03983939745582727,-0.00024587299375475693,-0.013171208803500657,0.03959352446207251,-0.013171208803500657,2.6491118920167397e-07,3.6579406011535705e-07,0.08,33.94112472797278,8.485150061718318,0.03959352446207251
hayward,0.5,0.3849001794597505,0.006,0.03983939745582727,-0.00034436633641433517,-0.015810345991923,0.03949503111941294,-0.015810345991923,7.898478945942108e-07,1.0906359565552388e-06,0.096,33.94112472797278,8.485150061718318,0.03949503111941294
hayward,0.6,0.4618802153517006,0.002,0.08293660719972173,-3.9444167686446804e-05,-0.0046503717327662135,0.08289716303203529,-0.0046503717327662135,1.1731871001584724e-09,1.6199575183490767e-09,0.032,33.94112438974985,8.485147366944483,0.08289716303203529
