model,ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
hayward,0.97,0.002,6.965891425695239,1.4257214736634432,0.00019570384216653164,1.427459207603685,0.0,0.0017377339402417924,-0.00019570384216653164,6.9676291596354805,-0.00019570384216653164,1.0235618551927122e-08,1.4133523310962282e-08
hayward,0.97,0.0025,6.965891425695239,1.4256602010368362,0.00024471464760868834,1.427459207603685,0.0,0.0017990065668487265,-0.00024471464760868834,6.967690432262088,-0.00024471464760868834,1.421033930288804e-08,1.9621888093518968e-08
hayward,0.97,0.003,6.965891425695239,1.4255852236122732,0.00029378094975698036,1.427459207603685,0.0,0.0018739839914116985,-0.00029378094975698036,6.967765409686651,-0.00029378094975698036,1.5256215206438513e-08,2.1066052057682595e-08
hayward,0.97,0.0035,6.965891425695239,1.4254964510509875,0.00034291490096005254,1.427459207603685,0.0,0.001962756552697398,-0.00034291490096005254,6.967854182247937,-0.00034291490096005254,9.669852943640368e-09,1.3352304142648301e-08
hayward,0.97,0.004,6.965891425695239,1.4253937139658095,0.0003921276917597843,1.427459207603685,0.0,0.0020654936378754485,-0.0003921276917597843,6.967956919333115,-0.0003921276917597843,9.434686531497698e-09,1.3027582196976901e-08
hayward,0.97,0.0045,6.965891425695239,1.4252767635434955,0.00044142963436802205,1.427459207603685,0.0,0.0021824440601894146,-0.00044142963436802205,6.968073869755429,-0.00044142963436802205,5.3055162930305325e-08,7.325950827814841e-08
hayward,0.97,0.005,6.965891425695239,1.4251452349865246,0.0004908342033726358,1.427459207603685,0.0,0.002313972617160376,-0.0004908342033726358,6.968205398312399,-0.0004908342033726358,1.3615464767117756e-07,1.8800474802588004e-07
hayward,0.97,0.0055,6.965891425695239,1.42499861982222,0.000540350397645572,1.427459207603685,0.0,0.0024605877814649624,-0.000540350397645572,6.968352013476704,-0.000540350397645572,2.7997325655751406e-07,3.865920293831466e-07
hayward,0.97,0.006,6.965891425695239,1.4248362326072679,0.000589990653417288,1.427459207603685,0.0,0.00262297499641706,-0.000589990653417288,6.968514400691657,-0.000589990653417288,5.135568987740321e-07,7.091284579890245e-07
fan_wang,0.5,0.0,0.7460815195120083,nan,0.0,nan,0.0,0.0,0.0,0.7460815195120083,0.0,0.0,0.0
fan_wang,0.5,0.0005,0.7460815195120083,-2.374996010520694,0.00025022152914159384,-2.3740269300924353,0.0,0.0009690804282587173,-0.00025022152914159384,0.747050599940267,-0.00025022152914159384,3.233394549384663e-11,4.4647284379498424e-11
fan_wang,0.5,0.001,0.7460815195120083,-2.3749979366537763,0.0005004533759372075,-2.3740269300924353,0.0,0.0009710065613410812,-0.0005004533759372075,0.7470525260733494,-0.0005004533759372075,8.502229533978308e-11,1.1740029065271202e-10
fan_wang,0.5,0.0015,0.7460815195120083,-2.3750011501276536,0.0007507058517856906,-2.3740269300924353,0.0,0.0009742200352182984,-0.0007507058517856906,0.7470557395472266,-0.0007507058517856906,3.18424363583789e-10,4.396859987107469e-10
fan_wang,0.5,0.002,0.7460815195120083,-2.3750056604851544,0.001000989275554213,-2.3740269300924353,0.0,0.0009787303927191182,-0.001000989275554213,0.7470602499047274,-0.001000989275554213,1.1308748103085193e-09,1.561531959407142e-09
fan_wang,0.5,0.0025,0.7460815195120083,-2.3750114936869773,0.0012513139571763152,-2.3740269300924353,0.0,0.0009845635945420206,-0.0012513139571763152,0.7470660831065503,-0.0012513139571763152,3.5965680170864238e-09,4.966204792686972e-09
fan_wang,0.5,0.003,0.7460815195120083,-2.3750187038520876,0.0015016902178226813,-2.3740269300924353,0.0,0.0009917737596523146,-0.0015016902178226813,0.7470732932716606,-0.0015016902178226813,9.994443527229006e-09,1.3800504566957183e-08
fan_wang,0.5,0.0035,0.7460815195120083,-2.375027387686418,0.0017521283870474082,-2.3740269300924353,0.0,0.0010004575939825955,-0.0017521283870474082,0.7470819771059909,-0.0017521283870474082,2.4372801721711973e-08,3.365439612056777e-08
