model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.7,0.004,16.0,0.22512824075416132,0.003690172085385912,-0.00017663072835277793,0.003690172085385912,-0.9962474450995772,-0.0006179859120999387,4.47545209131181e-16,4.716279450311944e-18,6.421017262730425
hayward,0.7,0.006,10.0,0.2251737098539357,0.005539351978275597,-0.0003963523978478545,0.005539351978275597,-0.9921832142696478,-0.0009276520486057316,5.578801654593729e-16,1.8174540230252396e-18,3.9958581845389984
hayward,0.7,0.006,12.0,0.22498906196737967,0.005539351325259734,-0.0003982979441249368,0.005539351325259734,-0.9946525145150622,-0.000927653758847069,1.1102230246251565e-16,4.466333970210268e-18,4.806675340592017
hayward,0.7,0.006,14.0,0.2249332915491628,0.0055393512280028645,-0.0003942149036085252,0.0055393512280028645,-0.995759572465789,-0.0009276543930043513,1.2412670766236366e-16,3.2526065174565133e-18,5.61637579604809
hayward,0.7,0.006,16.0,0.22492929846625187,0.005539351214449706,-0.0003755730162622317,0.005539351214449706,-0.996314577556741,-0.0009276540962698809,2.2887833992611187e-16,2.9493487749136975e-18,6.425020738243852
hayward,0.8,0.002,10.0,0.6152401091775843,0.0012288931816550885,-6.388020636194369e-05,0.0012288931816550885,-1.4852174253066044,-0.00023667156090823038,4.47545209131181e-16,6.79012718401704e-18,4.0000690136468116
hayward,0.8,0.002,12.0,0.6149104817558749,0.0012288930237076556,-6.440842647792433e-05,0.0012288930237076556,-1.488643662284471,-0.00023667193074988768,6.684427777288335e-16,3.5502448051778035e-18,4.807861911112291
hayward,0.8,0.002,14.0,0.614798560523391,0.0012288930032635648,-6.46715556260613e-05,0.0012288930032635648,-1.4901794320614365,-0.00023667191910298202,1.4443570596498132e-15,1.0606945790432344e-17,5.61505299365988
hayward,0.8,0.002,16.0,0.6147545995172838,0.001228892999173281,-6.479710885498591e-05,0.001228892999173281,-1.4909476244375828,-0.00023667182256281727,6.661338147750939e-16,2.927345865710862e-18,6.421129110598921
hayward,0.8,0.004,10.0,0.615048498521102,0.002459135951612179,-0.00025549086284426537,0.002459135951612179,-1.4852805187686309,-0.0004735997741410758,4.577566798522237e-16,1.6263032587282567e-18,4.00073918183246
hayward,0.8,0.004,12.0,0.6147174056643057,0.0024591356332339664,-0.00025748451804719075,0.0024591356332339664,-1.4887082588515306,-0.00047360072760771477,7.771561172376096e-16,4.635519035990621e-18,4.808953616435806
hayward,0.8,0.004,14.0,0.6146051747514724,0.0024591355956937733,-0.0002580573275446918,0.0024591355956937733,-1.49024502115856,-0.0004736007649257523,2.482534153247273e-16,8.285461368446635e-18,5.616712395303765
hayward,0.8,0.004,16.0,0.6145624530364191,0.0024591355705410045,-0.00025694358971972697,0.0024591355705410045,-1.4910139805800815,-0.0004736000464717893,8.95090418262362e-16,4.662069341687669e-18,6.423524985749051
hayward,0.8,0.006,10.0,0.6147294055406096,0.00369207916023484,-0.0005745838433366401,0.00369207916023484,-1.4853857020925205,-0.0007110416976039424,1.3506446028928519e-15,3.496446946337351e-18,4.001857489550908
hayward,0.8,0.006,12.0,0.614396980957465,0.003692078683259936,-0.0005779092248878737,0.003692078683259936,-1.4888160482445716,-0.0007110431074071055,1.5700924586837751e-15,5.057544569639795e-18,4.8107762253383415
hayward,0.8,0.006,14.0,0.6142887091844016,0.0036920786168250785,-0.000574522894615459,0.0036920786168250785,-1.4903548424687947,-0.0007110430670993484,2.482534153247273e-16,6.938893903907228e-18,5.619484360689429
