ell_over_ell_ext,ell,Momega,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,k_dynamic_real,k_dynamic_imag,delta_k_real,delta_k_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.0,0.0,0.006,0.0,-0.98462641867341,0.012811324707285635,-0.9843280577470465,0.0,-0.00012724692075764604,-0.012811324707285635,-0.00012724692075764604,-0.012811324707285635,6.18138868746929e-07,8.535370936781772e-07,0.096
0.1,0.07698003589195011,0.006,0.0008532848533869884,-0.9675502200334385,0.012602855234078173,-0.9672615070080797,0.0,0.0007239770515948562,-0.012602855234078173,-0.0001293078017921322,-0.012602855234078173,6.182544709541715e-07,8.536967192525391e-07,0.096
0.2,0.15396007178390023,0.006,0.00794594636782332,-0.9173763268545035,0.01198742073004954,-0.9171150349951105,0.0,0.007810138220971851,-0.01198742073004954,-0.0001358081468514679,-0.01198742073004954,6.1860996657141e-07,8.541875938946925e-07,0.096
0.3,0.2309401076758503,0.006,0.03486408588465715,-0.8372529535333779,0.010994830360733234,-0.8370326716538581,0.0,0.0347164782046719,-0.010994830360733234,-0.00014760767998524965,-0.010994830360733234,6.191879634267642e-07,8.549857021855851e-07,0.096
0.4,0.30792014356780045,0.006,0.10420564304165504,-0.7323722241294912,0.009674401668797666,-0.7322008372334559,0.0,0.10403981638480725,-0.009674401668797666,-0.0001658266568477923,-0.009674401668797666,6.200388074825616e-07,8.561605627213918e-07,0.096
0.5,0.3849001794597505,0.006,0.24749631053450952,-0.6098804241138117,0.008094459017421406,-0.6097604895146952,0.0,0.24730492725901654,-0.008094459017421406,-0.00019138327549297895,-0.008094459017421406,6.211674457597793e-07,8.577190064363843e-07,0.096
0.6,0.4618802153517006,0.006,0.5050403320994054,-0.47873458981507455,0.006341756224008046,-0.47866630334771115,0.0,0.504815981723731,-0.006341756224008046,-0.00022435037567436478,-0.006341756224008046,6.2260942083064e-07,8.597101111433527e-07,0.096
0.7,0.5388602512436507,0.006,0.9256747010331015,-0.3494780924182805,0.004521075189935408,-0.34946552571761574,0.0,0.9254115598280063,-0.004521075189935408,-0.00026314120509518535,-0.004521075189935408,6.245287122169384e-07,8.623603026692787e-07,0.096
0.8,0.6158402871356009,0.006,1.5663862815145428,-0.23387512301631114,0.0027557162703043467,-0.2339363111456923,0.0,1.5660827532148338,-0.0027557162703043467,-0.0003035282997090327,-0.0027557162703043467,6.271214719553039e-07,8.659404312189871e-07,0.096
0.9,0.6928203230275509,0.006,2.4917423799395757,-0.14424435350140716,0.0011913835368961823,-0.14442568602850633,0.0,2.491404928361213,-0.0011913835368961823,-0.0003374515783627352,-0.0011913835368961823,6.310470930124984e-07,8.713609982751546e-07,0.096
